OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
1.5,2.659509,1797.19,1587.6,2192.5,3.1086,1.381,1399.52605726729,0.638331417356384,0.38299885041383,0.255332566942554
1.6,2.49329,1988.54,1643.5,2273.8,3.158,1.3835,1402.05959466278,0.616619992817156,0.37945845711825,0.237161535698906
1.7,2.346626,2169.34,1690,2342.2,3.2048,1.3859,1404.49179056244,0.599653821417157,0.377559813484877,0.22209400793228
1.8,2.216257,2338.75,1728.3,2399.1,3.248,1.3881,1406.72130347047,0.586365190183993,0.376949050832567,0.209416139351426
1.9,2.099612,2495.69,1759.4,2445.8,3.2872,1.3902,1408.84947488268,0.576000317264406,0.377379518207714,0.198620799056692
2,1.994632,2639.11,1784,2483.3,3.3222,1.392,1410.67362180743,0.56805771199271,0.378705141328474,0.189352570664237
2.1,1.899649,2768.37,1802.9,2512.5,3.3532,1.3936,1412.29508574055,0.562102700202449,0.38077924852424,0.181323451678209
2.2,1.813302,2883.31,1816.8,2534.4,3.3804,1.395,1413.71386668202,0.557802156646299,0.38348898269433,0.174313173951968
2.3,1.734462,2984.15,1826.3,2549.9,3.4041,1.3962,1414.92996463185,0.554900595846792,0.386748900135643,0.168151695711149
2.4,1.662193,3071.38,1832.1,2559.9,3.4246,1.3973,1416.04472108587,0.55314391037334,0.390454524969416,0.162689385403923
2.5,1.595705,3145.69,1834.5,2565.1,3.4423,1.3982,1416.95679454824,0.552420255216678,0.394585896583341,0.157834358633337
2.6,1.534332,3207.9,1834.3,2566.2,3.4574,1.399,1417.7675265148,0.552480487485687,0.399013685406329,0.153466802079357
2.7,1.477505,3259.07,1831.7,2563.8,3.4701,1.3997,1418.47691698554,0.553264703933502,0.403733702870393,0.149531001063109
2.8,1.424737,3300.39,1827.3,2558.7,3.4809,1.4002,1418.98362446463,0.554596923436215,0.408650364637211,0.145946558799004
2.9,1.375608,3333.17,1821.5,2551.3,3.4899,1.4007,1419.49033194373,0.556362864779026,0.413705719963891,0.142657144815135
3,1.329754,3358.7,1814.5,2542.3,3.4974,1.4011,1419.89569792701,0.558509208153759,0.418881906115319,0.13962730203844
3.1,1.286859,3378.2,1806.7,2532,3.5037,1.4014,1420.19972241447,0.560920439583215,0.424110576270236,0.136809863312979
3.2,1.246645,3392.73,1798.3,2520.8,3.509,1.4017,1420.50374690193,0.563540542843238,0.429364223118658,0.134176319724581
3.3,1.208868,3403.2,1789.6,2508.9,3.5134,1.4019,1420.70642989356,0.566280150980664,0.434587092613067,0.131693058367596
3.4,1.173313,3410.35,1780.6,2496.7,3.5171,1.4021,1420.9091128852,0.569142400424012,0.4397918548731,0.129350545550912
3.5,1.13979,3414.81,1771.5,2484.2,3.5202,1.4023,1421.11179587684,0.572066022125315,0.444940239430801,0.127125782694514
3.6,1.108129,3417.06,1762.4,2471.7,3.5229,1.4024,1421.21313737266,0.575019835562299,0.450015523483538,0.125004312078761
3.7,1.078179,3417.48,1753.3,2459.1,3.525,1.4026,1421.4158203643,0.578004310839557,0.455024670235396,0.122979640604161
3.8,1.049806,3416.41,1744.2,2446.6,3.5269,1.4027,1421.51716186012,0.581019927872374,0.45997410956563,0.121045818306745
3.9,1.022888,3414.08,1735.3,2434.2,3.5284,1.4027,1421.51716186012,0.583999860655215,0.464816215623539,0.119183645031677
4,0.997316,3410.72,1726.5,2421.9,3.5297,1.4028,1421.61850335594,0.586976517923542,0.469581214338834,0.117395303584708
