Pc,OF,EqRatio,Tc,Cstar,Isp,AeAt,CF,T,mdot,mdotO,mdotF
10,2.5,1.595705,3091.42,1822.2,2299.5,2.1768,1.262,870.382697011974,0.378490385184231,0.270350275131593,0.108140110052637
11,2.5,1.595705,3099.14,1824,2339.5,2.3136,1.2827,973.125098259101,0.415928562429263,0.297091830306616,0.118836732122647
12,2.5,1.595705,3106.13,1825.6,2375,2.4476,1.301,1076.73650283288,0.453342580992138,0.323816129280098,0.129526451712039
13,2.5,1.595705,3112.49,1827,2406.7,2.579,1.3173,1181.07897369733,0.490744791377951,0.350531993841394,0.140212797536557
14,2.5,1.595705,3118.33,1828.3,2435.5,2.7081,1.3321,1286.22147937045,0.528118608453638,0.377227577466885,0.150891030986754
15,2.5,1.595705,3123.72,1829.6,2461.6,2.835,1.3455,1391.95711429827,0.565439314508121,0.403885224648658,0.161554089859463
16,2.5,1.595705,3128.72,1830.7,2485.6,2.96,1.3577,1498.2169099628,0.602772867106751,0.430552047933393,0.172220819173357
17,2.5,1.595705,3133.38,1831.8,2507.7,3.083,1.369,1605.10431914102,0.640061581941587,0.457186844243991,0.182874737697596
18,2.5,1.595705,3137.74,1832.8,2528.2,3.2044,1.3795,1712.55727016675,0.677342494428672,0.483816067449051,0.19352642697962
19,2.5,1.595705,3141.83,1833.7,2547.3,3.3241,1.3892,1820.4102385968,0.714621716626024,0.510444083304303,0.204177633321721
20,2.5,1.595705,3145.69,1834.5,2565.1,3.4423,1.3982,1928.635637024,0.751905347378256,0.537075248127326,0.21483009925093
21,2.5,1.595705,3149.32,1835.4,2581.8,3.5591,1.4067,2037.3782993361,0.789113478126665,0.563652484376189,0.225460993750476
22,2.5,1.595705,3152.77,1836.1,2597.5,3.6745,1.4147,2146.53477275614,0.826375140646997,0.590267957604998,0.236107183041999
23,2.5,1.595705,3156.04,1836.9,2612.4,3.7886,1.4222,2256.00160450712,0.863561388061529,0.616829562901092,0.246731825160437
24,2.5,1.595705,3159.16,1837.6,2626.4,3.9016,1.4293,2365.84086625524,0.900764274988296,0.643403053563069,0.257361221425227
